id,status_legacy,project_date,started_on,won_on,last_contact_on,proposal_sent_on,concept,services_array,budget_notes,location_text,next_steps,budget_low,budget_high,status
37e44c67-a8d7-4f05-ab94-da91b3d93504,Warm Lead,2026,9/26/2025,,10/8/2025,,"Pop up events to promote the NICOLEHOLLIS Collection, potentially small intimate dinners and launch events; Target demo is someone like Gwyneth Paltrow or Athena Calderone","[""Programming""]",Not disclosed,"New York, San Francisco","Client still gathering initial info from agencies + doesn't have format, location, budget decided. NB to follow up in a few months. SY 10/08",,,Declined by Us
37e7cefa-ba4c-4c31-bc21-9ad5be2a90f2,Prospecting,2026,12/9/2025,,1/15/2026,,RK have a few events coming up and think thier brands would be an amazing fit with CoC's work.,"[""Executive Production""]",Not disclosed,USA,NB had capabilities call and shared our agency's deck. No next steps; SY 1/16,,,Initial Contact
37e96029-1779-4c03-995e-5d2c3802e0c0,Complete,6/6/24,,,,,Summer of Climb event,"[""Executive Production""]",,New York,Intale Notes here,,,Closed Won
38171503-d4c4-46d8-891c-f03894832a63,Warm Lead,Summer 2024,7/1/2024,,7/1/2024,,Summer event,"[""Executive Production""]",,New York,4/3 Intake Notes here - they ultimately passed because of the timeline. Gaby to check back in later in the year for other opportunities.,,,Initial Contact
3a0abeba-9193-4913-876e-6e98782840d6,Warm Lead,,7/1/2024,,7/1/2024,,TK,"[""Executive Production""]",,TK,"Gaby & Sue met with Laura in 2023, Sue followed up - 3.25.24",,,Initial Contact
3a25215e-c348-4b7c-be5c-5c48a884a293,Complete,Summer 2024,,,,,Womenswear Summer 2024 Influencer Trip,"[""Executive Production""]",,Saint Tropez,2024 TOUCHBASE- J.Crew ,,,Closed Won
3a6aaf99-b5a2-4b1e-b247-465e4807b51c,Warm Lead,,1/21/2025,,1/21/2025,,Theory Linen Launch,"[""Executive Production""]",,LA or NY,"Gaby and Sue did a brainstorm with them. Stephanie to confirm budget and final details in December. GD, 11/21",,,Initial Contact
3a7b39e4-ad7d-429d-ae27-21038a1ff3f6,No-Go,11/02/2025,9/4/2025,,9/23/2025,,"Hanwha Foundation's Zero One Gallery Opening spotlighting Korean + Asian contemporary artists; Opening week includes VIP Preview + Dinner, Press Preview, and Opening Reception","[""Executive Production""]",$10k,New York,Initial budget was $10k but then they came back saying they are flexible and asked us how much it would cost and then we went back with numbers to give them an idea. Awaiting feedback SY 09/26,10000,10000,Declined by Us
3aea2036-4ba5-4db1-9418-23a43716115e,No-Go,August 15 or 16,7/1/2024,,7/1/2024,,Courtside Collection Launch,"[""Consulting""]",,Hamptons,"Intake Notes here, we passed on this opp due to bandwidth but Gaby to check in in the Fall to discuss future opps - 7.9",,,Declined by Us
3b50a70f-d1b8-4104-8e48-808e507301e9,Complete,9/1/24 - 10/30/24,,,,,NYT Cooking 10th Anni + Holiday,"[""Marketing""]",,,CoC x NYT 2024 (EXTERNAL DOC),,,Closed Won
3cf250fe-3722-4532-808f-97d576a7779e,Warm Lead,2026,11/13/2025,,11/13/2025,,2026 Planning,"[""Executive Production""]",Not disclosed,TBC,SY setting up call to chat through 2026 plans and explore ways of working together. SY 11/13,,,Initial Contact
3d4a7c7a-b680-49d0-a875-43cf2479020e,No-Go,2026,10/20/2025,,11/10/2025,,Restaurant Sponsored Events (RSE),"[""Executive Production""]",Not disclosed,TBC,"Resy already has 120 Committed Events for 2026, and expressed their desire to move the more high-profile, bespoke events to COC (from Karlitz) but we must meet their fee structure of $10k per event",,,Declined by Us
3db33068-ddeb-45b8-bc04-e435a186182b,Complete,3/12/2025,12/4/2024,12/4/2024,,1/31/2025,Power Lunch,"[""Executive Production""]",,New York,"GD scheduling official intake call in Jan. GD, 1/2",,,Closed Won
3dcf1c97-5df7-4b69-86fc-fb1e538340b3,In Progress,December 2025 - December 2026,6/24/2025,12/10/2025,1/16/2026,8/27/2025,Wildflower Farms Programming,"[""Executive Production""]",$7.5K/month - Annual Term ($90k),Upstate NY,Gaby had call with client on 11/11 to discuss kick-off for top of 2026 SY 11/12,90000,90000,Closed Won
3df96042-625d-425f-bf99-0c4ea0bc6e05,Warm Lead,2026-2027,6/27/2025,,11/13/2025,,Renewing retainer for 2026! Culinary/Talent Programing Retainer + potentially RSVP Management to help with brand strategy,"[""Executive Production""]",Not disclosed,TBC,Gaby + Susana chatted with Jens about his current needs and goals and are pitching a wide range of agency services. Jens asked us to circle back to this some time in October/November due to tariffs and tight budget. GD setting up renewal call wtih client. SY 11/13,,,Initial Contact
3e293a27-535d-425e-aa11-5e57eb34c8e0,Warm Lead,,,,2/25/2025,,ILIA All Company Retreat,"[""Programming""]",,Austin,"Intake Notes here - Hosting at the Proper Hotel and they are interested in working with us to produce the trip. Waiting on client go-no for LA Frieze Event and then we can chat more about this. GD, 11/18",,,Initial Contact
3eafc2cf-f9c3-48a5-9d7a-053dae2029bf,Complete,4/19/2025,3/26/2025,3/31/2025,,4/21/2025,Larry Gagosian & Paloma Picasso's Birthday,"[""Executive Production""]",,New York,"Sue did site visit, we're waiting on final confirmation on scope & fee. GD, 3/27",,,Closed Won
3eed54d1-bc7f-4a66-990d-015205213775,No-Go,2025,,10/1/2024,10/1/2024,,Potential Retail Activations,"[""Executive Production""]",,TBC Multi-City,"Spoke with Allie about a potential retail activation where we would come on to consult. Budget ended up being way too small, however we are sharing an ideal budget number so they can plan to have us help in the new year. Gaby sorting that out with Alexandra - 8.22",,,Declined by Us
3f1ff458-0b64-4299-97b8-39f8dcb6567d,No-Go,March/April 2026,12/3/2025,,12/16/2025,,"Masterclass and a dinner or cocktail event to celebrate LXR's newest hotel, Cameo Beverly Hills, and their new modern Peruvian restaurant, Zampo. For this event, client will be bringing up a mixologist from a notable World’s 50 Best bar in Lima (Sastrería Martínez).","[""Concepting"", ""Executive Production""]",$75K or less,Beverly Hills,Budget was below our minimum so we proposed creative direction instead. SY 1/16,75000,75000,Initial Contact
404027e0-4cc4-4582-a9e1-b955dd350bf3,In Progress,06/XX/2026,9/30/2025,11/25/2025,3/17/2026,11/19/2025,MERIT Clean Volume Mascara Launch + VIP Dinner,"[""Event Concepting"", ""Executive Production""]",$150k all in,NY,Alexandra followed up for contacting. NB plans to reconnect with client at top of February. SY 1/16,150000,150000,Closed Won
417aa138-1a4d-4a6d-9f30-d832863a7e53,Warm Lead,TBC,6/10/2025,,,,373,"[""Executive Production""]",,TBC,"Lead came through Prix Fixe summer suite. SY, 06/10",,,Initial Contact
41a0aba2-f62b-4a5e-baed-0f6672c391b9,Complete,5/1/2025 5/7/2025 5/13/2025 5/15/2025 5/28/25 5/29/25,3/24/2024,7/10/2024,,7/1/2024,The Resy Dream Team Dinners,services_array,,Nationwide,,,,Closed Won
41b1ed2c-f667-4d6f-a87f-26446fd982a1,Complete,Spring 2024,,,,,Roadshow- Denim Atelier,"[""Liquor Cabinet Program""]",,Multi-City,Spring 2024- Madewell Denim Atelier Roadshow-  Production Intake Notes,,,Closed Won
